cop	version	category	risk	description
Style/BlockDelimiters	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/CaseEquality	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/CaseEquality` when the argument is an operator or unary expression (e.g. `Array === a + b`), which produced mis-parsed code like `a + b.is_a?(Array)`.
Style/ClassAndModuleChildren	1.87.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrect for `Style/ClassAndModuleChildren` causing a syntax error when the namespace contains a method call (e.g., `class self.class::Foo; end`).
Style/ClassAndModuleChildren	1.89.0	New features	LOW-other	Support autocorrection for tab indentation in `Layout/IndentationWidth` and `Style/ClassAndModuleChildren`.
Style/ClassAndModuleChildren	1.89.0	Bug fixes	LOW-other	Fix `Style/ClassAndModuleChildren` ignoring `EnforcedStyleForClasses` and `EnforcedStyleForModules`, and skip autocorrection when mixed per-type styles make the result ambiguous.
Style/ClassAndModuleChildren	1.89.0	Changes	LOW-other	Change `Style/ClassAndModuleChildren` autocorrection to consult the project index for the namespace kind and definition sites when `UseProjectIndex` is enabled.
Style/ClassAndModuleChildren	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/ClassEqualityComparison	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ClassEqualityComparison` inside a namespace when the class name string is already fully qualified (e.g. `bar.class.name == '::Bar'`), which produced `instance_of?(::::Bar)` and was a syntax error.
Style/ClassEqualityComparison	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ClassEqualityComparison` when comparing `Class` itself to a string literal (e.g. `var.class == 'Date'`), which produced `var.instance_of?('Date')` and raised `TypeError`; such comparisons are no longer autocorrected.
Style/ClassMethodsDefinitions	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ClassMethodsDefinitions` that corrupted a preceding comment containing `def <name>` and left the method undefined as a class method.
Style/CollectionCompact	1.88.2	Bug fixes	MED-fp/fn	Fix a false negative for `Style/CollectionCompact`, which did not flag `grep_v(nil)`/`grep_v(NilClass)` on a safe-navigation call (e.g. `array&.grep_v(nil)`).
Style/ColonMethodCall	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Style/ColonMethodCall` with chained JRuby interop calls (e.g. `Java::com::something_method`).
Style/CombinableLoops	1.88.0	Bug fixes	HIGH-crash/hang	Fix a crash for `Style/CombinableLoops` when a `for` loop has an empty body, and stop autocorrecting consecutive `for` loops whose iteration variables differ (which produced code referencing an undefined variable).
Style/ComparableClamp	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ComparableClamp` when the clamped value is an operator expression (e.g. `a + b`), which produced mis-parsed code like `a + b.clamp(low, high)`.
Style/ConcatArrayLiterals	1.86.0	Bug fixes	LOW-other	Fix `Style/ConcatArrayLiterals` autocorrect deleting code for percent literals with interpolation.
Style/ConcatArrayLiterals	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ConcatArrayLiterals` with an empty array literal argument (e.g. `arr.concat([], [b])`), which produced invalid Ruby like `arr.push(, b)`.
Style/ConditionalAssignment	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Style/ConditionalAssignment` with `EnforcedStyle: assign_inside_condition` when assigning an `unless` without an `else` branch (e.g. `x = unless cond; 1; end`), which was rewritten to move the assignment inside the `unless` and changed behavior when the condition was true.
Style/ConditionalAssignment	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ConditionalAssignment` with `EnforcedStyle: assign_inside_condition` and a single-line `case`.
Style/ConditionalAssignment	1.89.0	Changes	LOW-other	Make `Style/ConditionalAssignment` skip cases it cannot safely rewrite instead of emitting invalid code or erroring on unusual branch shapes.
Style/ConstantVisibility	1.88.0	Bug fixes	HIGH-crash/hang	Fix a crash for `Style/ConstantVisibility` when a visibility declaration has a numeric literal argument (e.g. `private_constant 42`).
Style/ConstantVisibility	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/ConstantVisibility` when a visibility declaration splats anything other than an array literal, e.g. `private_constant(*constants(false))`.
Style/Copyright	1.86.2	Bug fixes	MED-fp/fn	Fix false positives in `Style/Copyright` when `Notice` pattern starts with `\A#`, uses `\s` metacharacters, or has multiple spaces after `#`.
Style/Copyright	1.86.2	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrect in `Style/Copyright` when `AutocorrectNotice` lacks a `#` prefix or `Notice` pattern starts with `^#`.
Style/Copyright	1.89.0	Changes	LOW-other	Change `Style/Copyright` to validate `AutocorrectNotice` only when autocorrection is requested (`-a`/`-A`), so plain inspection no longer raises a warning.
Style/DataInheritance	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/DataInheritance` with a brace block.
Style/DataInheritance	1.91.0	Bug fixes	LOW-other	Fix `Style/DataInheritance` to not register an offense when the class body defines constants, nested classes, or nested modules.
Style/DateTime	1.88.0	Bug fixes	MED-fp/fn	Fix false positives for `Style/DateTime`: a bare `to_datetime` call on implicit self is no longer flagged, and historic-date calls using safe navigation (e.g. `DateTime&.iso8601(str, Date::ENGLAND)`) are now exempted.
Style/DefWithParentheses	1.88.2	Bug fixes	MED-fp/fn	Fix a false negative for `Style/DefWithParentheses` with a single-line definition whose body follows a semicolon (e.g. `def foo(); end`), where the parentheses can be safely omitted.
Style/DigChain	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/DigChain` that duplicated a trailing comment and dropped indentation when the chain was inside a method or block.
Style/DirEmpty	1.88.1	Bug fixes	MED-fp/fn	Fix a false positive for `Style/DirEmpty` with a block.
Style/DisableCopsWithinSourceCodeDirective	1.89.0	New features	LOW-other	Add `DisallowedCops` configuration option to `Style/DisableCopsWithinSourceCodeDirective`.
Style/DisableCopsWithinSourceCodeDirective	1.89.0	New features	LOW-other	Make `Style/DisableCopsWithinSourceCodeDirective` impossible to disable via directive comments when explicitly enabled with `Enabled: true`.
Style/DisableCopsWithinSourceCodeDirective	1.89.0	Changes	LOW-other	Improve `Style/DisableCopsWithinSourceCodeDirective` performance on large `AllowedCops` and `DisallowedCops` lists by matching directives against memoized sets instead of rebuilding an array lookup per comment.
Style/DisableCopsWithinSourceCodeDirective	1.90.0	New features	LOW-other	Add `AllowTrailingComment` option to `Style/DisableCopsWithinSourceCodeDirective`.
Style/DisableCopsWithinSourceCodeDirective	1.91.0	New features	LOW-other	Add `AllowedDirectives` option to `Style/DisableCopsWithinSourceCodeDirective`, exempting directive kinds such as generated `rubocop:todo` comments.
Style/DisableCopsWithinSourceCodeDirective	1.91.0	Changes	LOW-other	Make `AllowedCops` and `DisallowedCops` of `Style/DisableCopsWithinSourceCodeDirective` match department names as well as cop names.
Style/DisableCopsWithinSourceCodeDirective	1.91.0	Changes	LOW-rename	Rename the `AllowTrailingComment` option of `Style/DisableCopsWithinSourceCodeDirective` to `AllowWithReason`.
Style/DocumentDynamicEvalDefinition	1.86.2	Bug fixes	MED-fp/fn	Fix false positives in `Style/DocumentDynamicEvalDefinition` when the heredoc contains an escaped interpolation (`\#{...}`).
Style/Documentation	1.89.0	Changes	LOW-other	Change `Style/Documentation` to accept a reopened class or module documented at another definition site when `UseProjectIndex` is enabled.
Style/Documentation	1.91.0	Changes	LOW-other	Disable `Style/Documentation` under `Preview`, ahead of it being disabled by default in RuboCop 2.0.
Style/DocumentationMethod	1.88.2	Bug fixes	LOW-other	Fix `Style/DocumentationMethod` ignoring `AllowedMethods` for inline modifier defs.
Style/DocumentationMethod	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/DocumentationMethod` when an inline `module_function`/`ruby2_keywords` `def` is preceded by another argument.
Style/DoubleCopDisableDirective	1.91.0	Changes	LOW-other	Remove `Style/DoubleCopDisableDirective`, superseded by `Lint/CopDirectiveSyntax`, which now reports and corrects more than one directive on a line.
Style/DoubleNegation	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/EmptyCaseCondition	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/EmptyCaseCondition` as a `yield`/`super` argument.
Style/EmptyCaseCondition	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/EmptyCaseCondition` with low-precedence `when` values.
Style/EmptyClassDefinition	1.85.0	Bug fixes	LOW-other	Allow classes without a superclass in `Style/EmptyClassDefinition`.
Style/EmptyClassDefinition	1.85.0	Bug fixes	LOW-other	Improve `Style/EmptyClassDefinition` message wording.
Style/EmptyClassDefinition	1.85.0	Changes	LOW-rename	Rename `class_definition` to `class_keyword` in `EnforcedStyle` of `Style/EmptyClassDefinition`.
Style/EmptyClassDefinition	1.86.0	New features	LOW-other	Add `AllowedParentClasses` option to `Style/EmptyClassDefinition`.
Style/EmptyClassDefinition	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/EmptyClassDefinition` with a namespaced constant.
Style/EmptyHeredoc	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/EmptyHeredoc`.
Style/EmptyLiteral	1.88.1	Bug fixes	MED-fp/fn	Fix a false positive for `Style/EmptyLiteral` with numbered and `it` block parameters.
Style/EmptyMethod	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Style/EmptyMethod` and `Style/SingleLineMethods` with `AllowIfMethodIsEmpty: false`.
Style/EmptyMethod	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Style/EmptyStringInsideInterpolation	1.88.1	Bug fixes	HIGH-crash/hang	Fix a crash for `Style/EmptyStringInsideInterpolation` with a modifier conditional.
Style/EndlessMethod	1.85.0	Changes	LOW-other	Change `Style/EndlessMethod` cop to consider receivers.
Style/EndlessMethod	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/EndlessMethod` when a method definition is nested inside another method definition.
Style/EndlessMethod	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/EndlessMethod` when using `EnforcedStyle: require_always` and the method body has a `rescue` or `ensure` clause.
Style/EndlessMethod	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Style/EndlessMethod` when an indented method definition would exceed `Layout/LineLength` once made endless.
Style/EndlessMethod	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Style/EndlessMethod` when a method body is a block spread over several lines.
Style/EnvHome	1.88.1	Bug fixes	MED-fp/fn	Fix a false positive for `Style/EnvHome`.
Style/EvenOdd	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/EvenOdd`.
Style/ExactRegexpMatch	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ExactRegexpMatch` with a single quote.
Style/FetchEnvVar	1.88.0	Changes	LOW-rename	Rename inconsistently named cop parameters to follow RuboCop's conventions (the old names are deprecated but still work): `Bundler/GemComment`'s `IgnoredGems` to `AllowedGems`, `Lint/NumberConversion`'s `IgnoredClasses` to `AllowedClasses`, `Lint/MissingCopEnableDirective`'s `MaximumRangeSize` to `MaxRangeSize`, `Metrics/CollectionLiteralLength`'s `LengthThreshold` to `Max`, and `Style/FetchEnvVar`'s `AllowedVars` to `AllowedVariables`.
Style/FileNull	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/FileNull`.
Style/FileWrite	1.87.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrect for `Style/FileWrite` causing a syntax error when the written heredoc is chained with another method call.
Style/FileWrite	1.88.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/FileWrite` when a literal or variable is passed to `write` in the block form.
Style/FileWrite	1.88.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrects for `Style/FileWrite` that deleted or duplicated heredoc bodies when a heredoc was used as the filename, in an argument expression, or in an inline block.
Style/FloatDivision	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/FloatDivision` when using `EnforcedStyle: fdiv` and one operand of a float division is itself a parenthesized float division.
Style/FloatDivision	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/FloatDivision` when using `EnforcedStyle: fdiv` and the divisor is a method call with parenthesized arguments.
Style/For	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/For`.
Style/For	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/For` when using `EnforcedStyle: for` and the block body has a `rescue` or `ensure` clause.
Style/FormatString	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/FormatString` with a low-precedence argument.
Style/FormatString	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/FormatString` with a splat argument.
Style/FormatString	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/FormatStringToken	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/FrozenStringLiteralComment	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/GuardClause	1.89.0	Changes	LOW-other	Make `Style/IfUnlessModifier`, `Style/WhileUntilModifier`, `Style/GuardClause`, and other modifier cops respect `Layout/LineLength` exemptions (allowed patterns, cop directives, allowed URIs) when checking whether the modifier form fits on one line.
Style/GuardClause	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/GuardClause` with `Style/MissingElse`.
Style/GuardClause	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/HashAsLastArrayItem	1.85.0	Changes	LOW-other	Tweak autocorrection in `Style/HashAsLastArrayItem` when multiline hash elements.
Style/HashConversion	1.87.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrect for `Style/HashConversion` causing a syntax error when `Hash[...]` is passed an anonymous splat (`*`).
Style/HashConversion	1.88.2	Bug fixes	MED-fp/fn	Fix a false positive for `Style/HashConversion` with a splat argument, which previously produced an invalid hash literal.
Style/HashLookupMethod	1.86.0	New features	LOW-other	Support `AllowedReceivers` for `Style/HashLookupMethod`.
Style/HashLookupMethod	1.86.2	Bug fixes	HIGH-crash/hang	Fix an error for `Style/HashLookupMethod` when chaining `fetch` (or `[]`) calls on the same expression.
Style/HashLookupMethod	1.88.2	Bug fixes	MED-fp/fn	Fix a false positive for `Style/HashLookupMethod` with safe navigation, where the suggested bracket form would be the unreadable `hash&.[](key)`.
Style/HashLookupMethod	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/HashLookupMethod` when the looked-up key is itself a hash lookup.
Style/HashSlice	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/HashSlice`.
Style/HashSyntax	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/HashSyntax` with a multi-pair braceless `return`.
Style/HashSyntax	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Style/HashSyntax` when hash rockets are enforced and a hash value repeats its key.
Style/HashTransformKeys	1.85.0	Bug fixes	MED-fp/fn	Fix false positives in `Style/HashTransformKeys` and `Style/HashTransformValues`.
Style/HashTransformKeys	1.88.1	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrects for `Style/HashTransformKeys` and `Style/HashTransformValues` with a splat.
Style/HashTransformValues	1.85.0	Bug fixes	MED-fp/fn	Fix false positives in `Style/HashTransformKeys` and `Style/HashTransformValues`.
Style/HashTransformValues	1.88.1	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrects for `Style/HashTransformKeys` and `Style/HashTransformValues` with a splat.
Style/IdenticalConditionalBranches	1.88.2	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/IdenticalConditionalBranches` that hoisted the moved expression to column zero instead of matching the surrounding indentation.
Style/IfInsideElse	1.86.2	Bug fixes	LOW-other	Fix `Style/IfInsideElse` autocorrect moving comments into the wrong branch when a comment precedes the nested `if` in an `else`.
Style/IfUnlessModifier	1.85.0	Bug fixes	MED-fp/fn	Fix false positives in `Style/IfUnlessModifier` when modifier forms are used inside string interpolations.
Style/IfUnlessModifier	1.86.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrection for `Style/IfUnlessModifier` when multiple `if`/`unless` modifier forms are on the same line inside a collection.
Style/IfUnlessModifier	1.88.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect when `Style/IfUnlessModifier` and `Style/Next` correct the same conditional.
Style/IfUnlessModifier	1.88.2	Changes	LOW-other	Improve performance of `Style/IfUnlessModifier` and other modifier cops on files with many comments or conditionals.
Style/IfUnlessModifier	1.89.0	Changes	LOW-other	Mention the required parentheses in the `Style/IfUnlessModifier` offense message when the condition is part of a larger expression.
Style/IfUnlessModifier	1.89.0	Changes	LOW-other	Make `Style/IfUnlessModifier`, `Style/WhileUntilModifier`, `Style/GuardClause`, and other modifier cops respect `Layout/LineLength` exemptions (allowed patterns, cop directives, allowed URIs) when checking whether the modifier form fits on one line.
Style/IfUnlessModifier	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/IfWithSemicolon	1.86.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrect in `Style/IfWithSemicolon` when `return` with value is in the `else` branch.
Style/IfWithSemicolon	1.86.0	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrection in `Style/IfWithSemicolon` when using single-line `unless` / `;` / `end`.
Style/IfWithSemicolon	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/IfWithSemicolon` that changed semantics when the condition was an assignment, by parenthesizing it in the resulting ternary.
Style/InlineComment	1.88.1	Bug fixes	MED-fp/fn	Fix a false positive for `Style/InlineComment` with `rubocop:todo` directives.
Style/InvertibleUnlessCondition	1.88.2	Bug fixes	MED-fp/fn	Fix a false positive for `Style/InvertibleUnlessCondition` with a multi-statement begin condition.
Style/InvertibleUnlessCondition	1.88.2	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/InvertibleUnlessCondition` with mixed `&&`/`||` conditions, which lost the required parentheses when inverting.
Style/KeywordArgumentsMerging	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/KeywordArgumentsMerging` with a block-pass argument.
Style/KeywordParametersOrder	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/KeywordParametersOrder` that inserted a spurious blank line when a keyword optional parameter already trailed the parameters list.
Style/Lambda	1.88.1	Bug fixes	HIGH-autocorrect	Fix incorrect autocorrects for `Style/Lambda` with block-local arguments.
Style/Lambda	1.89.0	Bug fixes	LOW-other	Fix incompatible autocorrect between `Style/Lambda` and `Style/SymbolProc` producing a syntax error like `->(x)(&:method)` when both cops run on `lambda { |x| x.method }`.
Style/Lambda	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Style/LambdaCall	1.88.2	Bug fixes	MED-fp/fn	Fix a false positive for `Style/LambdaCall` when the argument list contains a comment, which the autocorrect would have dropped.
Style/MagicCommentFormat	1.91.0	Changes	MED-fp/fn	Recognize `warn_indent` as a magic comment. This fixes a false positive for `Layout/EmptyLineAfterMagicComment` and makes `Lint/OrderedMagicComments` and `Style/MagicCommentFormat` aware of it.
Style/MapCompactWithConditionalBlock	1.88.1	Changes	HIGH-autocorrect	Mark `Style/MapCompactWithConditionalBlock` autocorrect as unsafe because `compact` also removes `nil` elements already present in the collection.
Style/MapIntoArray	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/MapIntoArray` with a block-pass argument.
Style/MethodCallWithArgsParentheses	1.89.0	Bug fixes	MED-fp/fn	Fix false positives for `Style/MethodCallWithArgsParentheses` `omit_parentheses` style by verifying each omission by reparsing before registering an offense.
Style/MethodCallWithArgsParentheses	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/MethodCallWithArgsParentheses` when `EnforcedStyle: omit_parentheses` is used together with `Style/TrailingCommaInArguments`.
Style/MethodCallWithoutArgsParentheses	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/MethodCallWithoutArgsParentheses` with `it()` in a numbered block.
Style/MethodCallWithoutArgsParentheses	1.88.2	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/MethodCallWithoutArgsParentheses` when empty parentheses span multiple lines and the method call has a block.
Style/MethodDefParentheses	1.88.1	Bug fixes	MED-fp/fn	Fix a false negative for `Style/MethodDefParentheses` with named rest arguments under `EnforcedStyle: require_no_parentheses`.
Style/MethodDefParentheses	1.88.2	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/ArgumentsForwarding` and `Style/MethodDefParentheses` when autocorrection conflicts while adding parentheses to method definition arguments.
Style/MethodDefParentheses	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Naming/BlockForwarding` with `Style/MethodDefParentheses`.
Style/MinMaxComparison	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/MinMaxComparison` with `unless`.
Style/MissingElse	1.91.0	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Style/GuardClause` with `Style/MissingElse`.
